dataset_name,dataset_display_name,p,repeats,mean_train_accuracy,std_train_accuracy,stderr_train_accuracy,mean_test_accuracy,std_test_accuracy,stderr_test_accuracy,mean_train_loss,mean_test_loss
fmnist,FMNIST,0.0,100,0.9340809813687512,0.003946072565818136,0.00039460725658181363,0.8860078475336323,0.0036801944671078493,0.00036801944671078493,0.17383617802098147,0.3537875152361233
fmnist,FMNIST,0.1,100,0.9571038553772366,0.005233354055888767,0.0005233354055888767,0.873695067264574,0.0035249788765828885,0.00035249788765828884,0.11478192724324618,0.4928141555080499
fmnist,FMNIST,0.2,100,0.9584757424829368,0.006532147879944578,0.0006532147879944577,0.8620201793721973,0.004438940382469403,0.0004438940382469403,0.1117601329564438,0.5795340107358624
fmnist,FMNIST,0.30000000000000004,100,0.9553305663161779,0.007487786084374007,0.0007487786084374007,0.8479786995515695,0.00606471064656244,0.000606471064656244,0.1213426712643911,0.675157179026593
fmnist,FMNIST,0.4,100,0.9451409334071205,0.007384682188921549,0.0007384682188921549,0.832134529147982,0.006823193044403842,0.0006823193044403842,0.14822819792372485,0.825166972593609
fmnist,FMNIST,0.5,100,0.9247640656705405,0.009656054681934182,0.0009656054681934182,0.8084865470852018,0.009223105821303968,0.0009223105821303968,0.2027417685893371,1.0035358625388466
fmnist,FMNIST,0.6000000000000001,100,0.8886048699501937,0.008554432461121742,0.0008554432461121743,0.7747130044843049,0.01254946896519897,0.001254946896519897,0.29560301950153356,1.2711142519562768
fmnist,FMNIST,0.7000000000000001,100,0.8284355285002767,0.01003850756632637,0.001003850756632637,0.7327376681614349,0.01311829719473485,0.0013118297194734852,0.450993229976474,1.5147769456636746
fmnist,FMNIST,0.8,100,0.7132909057369489,0.010497389504424316,0.0010497389504424315,0.6797421524663677,0.014200407618969013,0.0014200407618969013,0.755702639133986,1.8592836612938766
fmnist,FMNIST,0.9,100,0.4692438664453053,0.009737260985399558,0.0009737260985399558,0.6042085201793722,0.025059383813789745,0.0025059383813789745,1.4529137480585717,2.099918967472598
fmnist,FMNIST,1.0,100,0.1,0.0,0.0,0.0998340807174888,0.0013104110423379982,0.00013104110423379982,2.3025961508331343,2.3025957749670396
kmnist,KMNIST,0.0,100,0.9957675705589375,0.001701109938533311,0.0001701109938533311,0.8935818385650224,0.004755065029779389,0.0004755065029779389,0.01302774107700419,0.6979410305199601
kmnist,KMNIST,0.1,100,0.9956733075078399,0.001904142780943072,0.0001904142780943072,0.8780112107623318,0.006107715917592817,0.0006107715917592817,0.013259623023981556,0.9708093439372666
kmnist,KMNIST,0.2,100,0.9943978970669618,0.002892945447050472,0.0002892945447050472,0.8641244394618834,0.007162676951449133,0.0007162676951449132,0.0169963648363523,1.1952009834184776
kmnist,KMNIST,0.30000000000000004,100,0.9925451023796348,0.003613321505498508,0.0003613321505498508,0.8542186098654708,0.0068853004037691635,0.0006885300403769164,0.022240060580777918,1.3923269387547745
kmnist,KMNIST,0.4,100,0.9896544917911825,0.004380787028709701,0.0004380787028709701,0.8420134529147982,0.0064978553316922105,0.0006497855331692211,0.030327713547214686,1.6126295636694528
kmnist,KMNIST,0.5,100,0.98379394945582,0.006028468132829828,0.0006028468132829828,0.8238979820627803,0.0076117865660712426,0.0007611786566071243,0.04747544927412366,1.870451588221195
kmnist,KMNIST,0.6000000000000001,100,0.9635172477402694,0.008492045666383775,0.0008492045666383775,0.8028273542600897,0.00802547429427398,0.000802547429427398,0.10947662510443118,1.8937687604651858
kmnist,KMNIST,0.7000000000000001,100,0.8875902969931747,0.013998865514917268,0.0013998865514917268,0.7640829596412556,0.009430640670193124,0.0009430640670193124,0.33843388977362604,1.7695234371311461
kmnist,KMNIST,0.8,100,0.6878795425198303,0.017725155950819145,0.0017725155950819144,0.6752589686098655,0.013597686047518905,0.0013597686047518904,0.9217821112925926,1.7883127726054513
kmnist,KMNIST,0.9,100,0.37212248662608377,0.01522230922221566,0.001522230922221566,0.47253139013452916,0.03666159253538216,0.003666159253538216,1.792091500193271,2.077008196690692
kmnist,KMNIST,1.0,100,0.1,0.0,0.0,0.10055156950672646,0.0035748334975465182,0.0003574833497546518,2.3025976312450323,2.302597535670071
mnist,MNIST,0.0,100,0.996491422246818,0.0018979882161837733,0.00018979882161837734,0.9763329596412557,0.0023632592789948072,0.00023632592789948073,0.010597855877046166,0.11635631791524777
mnist,MNIST,0.1,100,0.9973504888396975,0.0019120542901253583,0.00019120542901253582,0.9729730941704036,0.0024611481663255417,0.0002461148166325542,0.008214940281236968,0.17574270172169978
mnist,MNIST,0.2,100,0.9968393285371703,0.001929507230926841,0.0001929507230926841,0.9690560538116592,0.0025030888436841005,0.0002503088843684101,0.009486583381498834,0.22591059815008288
mnist,MNIST,0.30000000000000004,100,0.9950164176351227,0.0025189857554652638,0.00025189857554652636,0.9650818385650224,0.002682042452367663,0.0002682042452367663,0.014727443557178544,0.2840801845607691
mnist,MNIST,0.4,100,0.9935556170448256,0.0033719427816400853,0.0003371942781640085,0.9617410313901346,0.0026627321159632066,0.0002662732115963207,0.018739366671573034,0.3457436395537162
mnist,MNIST,0.5,100,0.9884137612986533,0.0048179694522312,0.00048179694522312,0.9564596412556053,0.0029839915876910795,0.00029839915876910797,0.03318896199832722,0.42602484227130566
mnist,MNIST,0.6000000000000001,100,0.9748644161593802,0.008316761047562503,0.0008316761047562503,0.9475683856502242,0.004128779178020376,0.00041287791780203763,0.07272439477162315,0.5124949251911164
mnist,MNIST,0.7000000000000001,100,0.9078705035971223,0.014523840654501765,0.0014523840654501765,0.9295302690582959,0.0070611446429800885,0.0007061144642980089,0.27417886271845743,0.5209826490250938
mnist,MNIST,0.8,100,0.6940084855192769,0.01637274538063137,0.0016372745380631372,0.8817197309417041,0.010571681352589289,0.0010571681352589289,0.8971832199158692,0.5915200827680361
mnist,MNIST,0.9,100,0.36328039107175797,0.015573931769799057,0.0015573931769799058,0.7253284753363228,0.033150465926287134,0.0033150465926287133,1.813158084109313,0.8366760245347772
mnist,MNIST,1.0,100,0.1,0.0,0.0,0.09976681614349776,0.004663129495270096,0.0004663129495270096,2.302596827896423,2.3025997340240822
