p_train,p_test,run_id,seed,epochs,mlp_depth,mlp_width,test_loss,test_accuracy
0.0,1.0,0,1234,20,3,128,16.474568562316893,0.096
0.0,0.0,2,1236,20,3,128,0.0932939945218799,0.9805
0.0,0.0125,2,1236,20,3,128,0.10229876463937326,0.9775
0.0,0.025,2,1236,20,3,128,0.11862683750197757,0.9746
0.0,0.037500000000000006,2,1236,20,3,128,0.14758655836863036,0.9682
0.0,0.05,2,1236,20,3,128,0.15623421411102173,0.9643
0.0,0.0625,2,1236,20,3,128,0.19620748846111818,0.9549
0.0,0.07500000000000001,2,1236,20,3,128,0.23095091922322752,0.949
0.0,0.08750000000000001,2,1236,20,3,128,0.2747505343614146,0.9401
0.0,0.1,2,1236,20,3,128,0.31831806107154115,0.927
0.0,0.1125,2,1236,20,3,128,0.3963422413505614,0.9147
0.0,0.125,2,1236,20,3,128,0.4459910856962204,0.8998
0.0,0.1375,2,1236,20,3,128,0.5445283849135041,0.8826
0.0,0.15000000000000002,2,1236,20,3,128,0.6624453428268433,0.8624
0.0,0.1625,2,1236,20,3,128,0.7192346921056509,0.8502
0.0,0.17500000000000002,2,1236,20,3,128,0.8131994980812073,0.8306
0.0,0.1875,2,1236,20,3,128,0.9648892825007439,0.8087
0.0,0.2,2,1236,20,3,128,1.059784889984131,0.7866
0.0,0.21250000000000002,2,1236,20,3,128,1.209539175224304,0.7629
0.0,0.225,2,1236,20,3,128,1.367688252735138,0.7407
0.0,0.23750000000000002,2,1236,20,3,128,1.4580207213401795,0.7239
0.0,0.25,2,1236,20,3,128,1.6664847471237183,0.6993
0.0,0.2625,2,1236,20,3,128,1.7762953350067139,0.6792
0.0,0.275,2,1236,20,3,128,1.9897059229373932,0.6559
0.0,0.28750000000000003,2,1236,20,3,128,2.08715609664917,0.6342
0.0,0.30000000000000004,2,1236,20,3,128,2.2640800166130064,0.6143
0.0,0.3125,2,1236,20,3,128,2.4446267692565917,0.5966
0.0,0.325,2,1236,20,3,128,2.6114906259536745,0.5785
0.0,0.3375,2,1236,20,3,128,2.84791495552063,0.5496
0.0,0.35000000000000003,2,1236,20,3,128,2.9818874382019045,0.5435
0.0,0.36250000000000004,2,1236,20,3,128,3.2519332176208495,0.5108
0.0,0.375,2,1236,20,3,128,3.402401583480835,0.497
0.0,0.3875,2,1236,20,3,128,3.5060539402008057,0.4808
0.0,0.4,2,1236,20,3,128,3.7069552253723144,0.4682
0.0,0.41250000000000003,2,1236,20,3,128,3.8382691284179686,0.4483
0.0,0.42500000000000004,2,1236,20,3,128,4.092506481170655,0.4313
0.0,0.4375,2,1236,20,3,128,4.231431494140625,0.4225
0.0,0.45,2,1236,20,3,128,4.458576836395264,0.4042
0.0,0.4625,2,1236,20,3,128,4.6917899864196775,0.3912
0.0,0.47500000000000003,2,1236,20,3,128,4.79561650390625,0.3808
0.0,0.48750000000000004,2,1236,20,3,128,5.006833600234986,0.3648
0.0,0.5,2,1236,20,3,128,5.200793748092651,0.3536
0.0,0.5125000000000001,2,1236,20,3,128,5.256431917572021,0.344
0.0,0.525,2,1236,20,3,128,5.452171276092529,0.3309
0.0,0.5375,2,1236,20,3,128,5.748793376159668,0.3192
0.0,0.55,2,1236,20,3,128,5.877643046569824,0.3112
0.0,0.5625,2,1236,20,3,128,6.005514849090576,0.3061
0.0,0.5750000000000001,2,1236,20,3,128,6.188572505187988,0.294
0.0,0.5875,2,1236,20,3,128,6.415041320037842,0.2835
0.0,0.6000000000000001,2,1236,20,3,128,6.621423337554932,0.2763
0.0,0.6125,2,1236,20,3,128,6.701367794036865,0.263
0.0,0.625,2,1236,20,3,128,6.927875582122803,0.2541
0.0,0.6375000000000001,2,1236,20,3,128,7.053393187713623,0.2524
0.0,0.65,2,1236,20,3,128,7.3240625709533695,0.2408
0.0,0.6625000000000001,2,1236,20,3,128,7.47084956741333,0.2323
0.0,0.675,2,1236,20,3,128,7.663611727905273,0.2239
0.0,0.6875,2,1236,20,3,128,7.806922607421875,0.2209
0.0,0.7000000000000001,2,1236,20,3,128,7.996826755523681,0.2121
0.0,0.7125,2,1236,20,3,128,8.199280476379394,0.2058
0.0,0.7250000000000001,2,1236,20,3,128,8.32846683731079,0.2
0.0,0.7375,2,1236,20,3,128,8.625375369262695,0.1864
0.0,0.75,2,1236,20,3,128,8.832065937805176,0.1836
0.0,0.7625000000000001,2,1236,20,3,128,8.820563507080077,0.1803
0.0,0.775,2,1236,20,3,128,9.092083636474609,0.1754
0.0,0.7875000000000001,2,1236,20,3,128,9.258296857452393,0.1696
0.0,0.8,2,1236,20,3,128,9.5000079788208,0.1644
0.0,0.8125,2,1236,20,3,128,9.691234660339356,0.1631
0.0,0.8250000000000001,2,1236,20,3,128,9.756672730255127,0.1529
0.0,0.8375,2,1236,20,3,128,10.107891999816895,0.145
0.0,0.8500000000000001,2,1236,20,3,128,10.24394952545166,0.1449
0.0,0.8625,2,1236,20,3,128,10.355012605285644,0.1374
0.0,0.875,2,1236,20,3,128,10.673398107910156,0.1335
0.0,0.8875000000000001,2,1236,20,3,128,10.784538888549804,0.1325
0.0,0.9,2,1236,20,3,128,11.049314923095704,0.1251
0.0,0.9125000000000001,2,1236,20,3,128,11.29261482849121,0.1241
0.0,0.925,2,1236,20,3,128,11.456388845825195,0.1206
0.0,0.9375,2,1236,20,3,128,11.766143601989747,0.1151
0.0,0.9500000000000001,2,1236,20,3,128,11.933106599426269,0.1129
0.0,0.9625,2,1236,20,3,128,12.290829565429688,0.1087
0.0,0.9750000000000001,2,1236,20,3,128,12.402454734802246,0.1103
0.0,0.9875,2,1236,20,3,128,12.710961967468261,0.1047
0.0,1.0,2,1236,20,3,128,12.976448103332519,0.1021
0.0,0.0,4,1238,20,3,128,0.12255268730827956,0.9772
0.0,0.0125,4,1238,20,3,128,0.13324010085681948,0.9731
0.0,0.025,4,1238,20,3,128,0.1449166306724248,0.9708
0.0,0.037500000000000006,4,1238,20,3,128,0.1796132584455685,0.9633
0.0,0.05,4,1238,20,3,128,0.20046296671051533,0.9589
0.0,0.0625,4,1238,20,3,128,0.24396142988286446,0.9465
0.0,0.07500000000000001,4,1238,20,3,128,0.3205958940792829,0.9354
0.0,0.08750000000000001,4,1238,20,3,128,0.3711955146126449,0.9193
0.0,0.1,4,1238,20,3,128,0.4548387219745666,0.9014
0.0,0.1125,4,1238,20,3,128,0.5565592594504356,0.8818
0.0,0.125,4,1238,20,3,128,0.6329788166046143,0.8673
0.0,0.1375,4,1238,20,3,128,0.7745980149626732,0.8426
0.0,0.15000000000000002,4,1238,20,3,128,0.9215151850938798,0.8176
0.0,0.1625,4,1238,20,3,128,1.0556573499076067,0.7995
0.0,0.17500000000000002,4,1238,20,3,128,1.195335129547119,0.7732
0.0,0.1875,4,1238,20,3,128,1.3958061541318894,0.752
0.0,0.2,4,1238,20,3,128,1.5756037370681764,0.7233
0.0,0.21250000000000002,4,1238,20,3,128,1.7849549843788146,0.6957
0.0,0.225,4,1238,20,3,128,1.9646784942626954,0.6744
0.0,0.23750000000000002,4,1238,20,3,128,2.192055725288391,0.6444
0.0,0.25,4,1238,20,3,128,2.4394476554870606,0.6221
0.0,0.2625,4,1238,20,3,128,2.6210614498138427,0.6061
0.0,0.275,4,1238,20,3,128,2.905758884048462,0.5705
0.0,0.28750000000000003,4,1238,20,3,128,3.195631407546997,0.553
0.0,0.30000000000000004,4,1238,20,3,128,3.396043868637085,0.5296
