p_train,num_runs,mean_auc_accuracy,stderr_auc_accuracy,std_auc_accuracy
0.0,20,0.39926653125,0.005328254759084211,0.023828679685498122
0.05,20,0.51608434375,0.004402759247975199,0.0196897379340768
0.1,20,0.563493,0.004785290052151876,0.021400467697330217
0.15000000000000002,20,0.59571015625,0.00446281288889888,0.019958305980880223
0.2,20,0.63469571875,0.0032781132918595175,0.01466016831708698
0.25,20,0.6638649999999999,0.003148807748081008,0.014081896345574335
0.30000000000000004,20,0.69591396875,0.0021998239730691444,0.009837911884632547
0.35000000000000003,20,0.7188424062499998,0.0024531168761493874,0.010970672183643925
0.4,20,0.7341057500000001,0.002095057359706538,0.009369381346130096
0.45,20,0.7503647500000001,0.00165114595833927,0.007384149207241287
0.5,20,0.7639073437500001,0.0013220919178395657,0.005912574801584672
0.55,20,0.77230540625,0.0011251279726875165,0.005031725260631627
0.6000000000000001,20,0.7773654375000001,0.0005309121373391436,0.0023743112583400586
0.65,20,0.7776888125,0.0005434418059966793,0.0024303456400476555
0.7000000000000001,20,0.7731010625,0.0011245715449650416,0.005029236840207589
0.75,20,0.76235128125,0.0009599023981906814,0.004292814028238869
0.8,20,0.73782975,0.001347411867449134,0.0060258090586124
0.8500000000000001,20,0.692457125,0.001921182028683259,0.008591787226573435
0.9,20,0.618985875,0.005157982821152657,0.023067200429746963
0.9500000000000001,20,0.15089518750000003,0.015162077687534687,0.06780687277892075
1.0,20,0.1135,3.1837828744296875e-18,1.4238309865648918e-17
